CodeBERT_Prediction,CodeT5_Prediction,MulaRec_Prediction,Correct_Model_Names,Correct_API_Sequence,CodeBERT_Achievement_Rate,CodeT5_Achievement_Rate,MulaRec_Achievement_Rate,CodeBERT_Head_API_Rate,CodeT5_Head_API_Rate,MulaRec_Head_API_Rate
['string.indexof'],"['string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit']","['string.charat', 'string.substring', 'string.length', 'string.charat']",MulaRec,"['string.charat', 'string.substring', 'string.length', 'string.charat']",0.5942028985507246,0.4547595878291222,0.7404321816176969,1.0,0.5,1.0
['joptionpane.showmessagedialog'],"['string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.']",['string.equalsignorecase'],CodeBERT,['joptionpane.showmessagedialog'],0.5116279069767442,0.0,0.6122448979591837,1.0,0.96,1.0
"['list<message>.sizelist<message', '>.get']","['list<message>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<message', '>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<message', '>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<message', '>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<']",['list<message>.isempty'],MulaRec,['list<message>.isempty'],0.0,0.0,0.0,0.0,0.0,0.0
"['grid.validpositionset<position', '>.add']","['grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position>']","['grid.validpositionset<position', '>.add', 'grid.validpositionset<position', '>.addarraylist<position', '>.<init>']",MulaRec,"['grid.validpositionset<position', '>.add', 'grid.validpositionset<position', '>.addarraylist<position', '>.<init>']",0.0,0.0,0.0,0.0,0.0,0.0
['filereader.<init>'],"['filereader.<init>', 'bufferedreader.<init>']","['filereader.<init>', 'filereader.close']",MulaRec,"['filereader.<init>', 'filereader.close']",0.7446808510638298,0.41256849850351734,0.0,1.0,0.5,0.5
"['popup.initialize', 'jpopupmenu.setvisible']","['popup.initialize', 'jlabel.settext']","['popup.initialize', 'jtextarea.settext', 'jtextarea.settext']",CodeT5,"['popup.initialize', 'jlabel.settext']",0.0,0.0,0.0,0.0,0.5,0.0
"['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill']","['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint']","['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.draw', 'graphics2d.setpaint', 'string.format', 'fontmetrics.stringwidth', 'graphics2d.drawstring', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill']",MulaRec,"['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.draw', 'graphics2d.setpaint', 'string.format', 'fontmetrics.stringwidth', 'graphics2d.drawstring', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill']",0.0,0.0,0.6374214775823163,0.3,0.29411764705882354,0.35714285714285715
['string.trim'],"['stringbuilder.<init>', 'string.length', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.appendstring']","['string.replaceall', 'string.length', 'string.charat', 'string.replaceall']",CodeBERT,['string.trim'],0.4864864864864865,0.0,0.6353581981050488,1.0,0.9583333333333334,1.0
"['point.<init>', 'view.gettabs']","['list.<init>', 'point.<init>', 'view.gettabs', 'list.insertbehind', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getimagesize', 'state.getimageshowsize', 'state.getimagesize', 'state.getimageshowsize', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getimagesize', 'state.getimageshowsize', 'view.getpage', 'util.getemptybiselection', 'imageicon.<']","['point.<init>', 'view.gettabs', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getpen_selectedreplaced', 'state.setpenselected1', 'state.setpen_selectedreplaced', 'state.getidtabselection']",MulaRec,"['point.<init>', 'view.gettabs', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getpen_selectedreplaced', 'state.setpenselected1', 'state.setpen_selectedreplaced', 'state.getidtabselection']",0.0,0.0,0.0,0.5,0.15789473684210525,0.2222222222222222
"['biginteger.gcd', 'biginteger.divide']","['biginteger.gcd', 'biginteger.divide', 'biginteger.gcd', 'biginteger.divide']","['biginteger.signum', 'biginteger.valueof', 'biginteger.gcd', 'biginteger.divide', 'biginteger.gcd', 'biginteger.divide']",MulaRec,"['biginteger.signum', 'biginteger.valueof', 'biginteger.gcd', 'biginteger.divide', 'biginteger.gcd', 'biginteger.divide']",0.0,0.0,0.0,0.0,0.0,0.0
